,위도,경도,고도,지형유형,도로거리,토양 pH,전기전도도,y
235,36.856843,128.48621,387.7024841,산림,646.0,6.3,0.2,1
236,36.780521,128.47976,486.8872375,산림,627.0,6.3,0.2,1
237,36.780521,128.47976,486.8872375,산림,627.0,6.3,0.2,1
238,36.760443,128.483,368.6039124,산림,466.0,5.9,1.0,1
239,36.760443,128.483,368.6039124,산림,466.0,5.9,1.0,1
240,36.753513,128.43132,192.9743805,산림,25.0,6.5,0.2,1
241,36.756637,128.44791,177.7368622,산림,325.0,6.5,0.2,1
242,36.849062,128.41595,431.2380676,산림,1047.0,6.4,0.1,1
243,36.851752,128.42369,487.4251404,산림,1047.0,6.4,0.1,1
244,36.851752,128.42369,487.4251404,산림,1047.0,6.4,0.1,1
245,36.900202,128.24693,280.4782104,산림,122.0,6.3,0.1,1
246,36.916826,128.40215,472.1701355,산림,72.0,6.4,0.1,1
247,36.916826,128.40215,472.1701355,산림,72.0,6.4,0.1,1
248,36.804689,128.172,398.5960999,산림,160.0,6.3,1.0,1
249,36.776624,128.17822,305.3981018,산림,366.0,6.3,1.0,1
250,36.804689,128.172,398.5960999,산림,160.0,6.3,1.0,1
251,36.728851,126.32062,43.67920303,평지,121.0,6.2,0.7,1
252,36.970654,128.17086,151.5761261,산림,432.0,6.7,0.7,1
253,36.900202,128.24693,280.4782104,산림,122.0,6.3,0.1,1
254,36.970654,128.17086,151.5761261,산림,432.0,6.7,0.7,1
255,36.9613,128.15551,157.8786469,산림,270.0,6.7,0.7,1
256,36.9613,128.15551,157.8786469,산림,270.0,6.7,0.7,1
257,36.9494,128.15103,212.0477905,산림,413.0,6.7,0.7,1
258,36.776624,128.17822,305.3981018,산림,366.0,6.3,1.0,1
259,36.754449,129.04949,348.769165,산림,46.0,6.1,0.2,1
260,36.829279,126.5315,81.64917755,산림,81.0,5.9,0.5,1
261,36.777711,126.61247,98.8976059,산림,157.0,6.0,0.9,1
262,38.209366,128.06111,347.7948303,산림,123.0,5.9,1.5,1
263,38.225199,127.98725,292.7923584,산림,54.0,5.8,0.9,1
264,38.20004,127.841,197.3865662,산림,2687.0,6.1,0.8,1
265,38.136688,127.62272,297.1090698,산림,120.0,5.7,0.7,1
266,38.34841,128.5072,10.70222187,평지,353.0,5.5,0.4,1
267,38.330579,128.46043,109.1472473,산림,683.0,5.5,0.4,1
268,36.909684,129.07708,433.7416077,산림,370.0,6.2,0.6,1
269,36.958837,129.11761,657.2971802,산림,624.0,6.2,1.0,1
270,36.928607,129.33112,203.567215,산림,1786.0,6.1,0.6,1
271,36.927755,129.35217,83.75868225,산림,995.0,6.1,0.6,1
272,36.935256,129.36196,123.9440842,산림,39.0,6.1,0.6,1
273,36.895839,129.39481,58.22647476,산림,181.0,5.6,0.5,1
274,36.914257,129.40168,94.41888428,산림,458.0,5.6,0.5,1
275,36.931226,129.23271,259.5584717,산림,299.0,6.2,1.0,1
276,36.928676,129.23269,260.4669189,산림,174.0,6.2,1.0,1
277,36.944845,129.18217,531.5617676,산림,530.0,6.2,1.0,1
278,36.952667,129.17558,666.130188,산림,904.0,6.2,1.0,1
279,36.777742,129.20003,436.6474304,산림,162.0,6.6,0.4,1
280,35.260062,127.85076,119.8721466,산림,252.0,5.9,0.5,1
281,35.258432,127.76992,279.4119873,산림,1913.0,5.9,0.5,1
282,36.829279,126.5315,81.64917755,산림,81.0,5.9,0.5,1
283,36.829533,126.55493,119.639946,산림,363.0,5.9,0.5,1
284,36.852764,126.56101,76.77310944,산림,1761.0,5.9,0.5,1
285,36.826357,126.42386,76.61253357,산림,148.0,5.8,1.0,1
286,35.268066,128.09796,47.8744278,평지,1330.0,6.2,1.6,1
287,35.29824,128.05925,138.7987518,산림,47.0,6.2,1.6,1
288,35.291443,128.029,92.12934875,산림,24.0,5.8,0.8,1
289,35.306067,128.00345,60.27037048,산림,115.0,6.1,0.8,1
290,36.829279,126.5315,81.64917755,산림,81.0,5.9,0.5,1
291,35.333554,128.10962,141.4094543,산림,637.0,6.2,0.7,1
292,35.342233,128.02978,52.18249512,산림,595.0,6.2,0.7,1
293,35.350674,128.02094,66.13707733,산림,655.0,6.2,0.7,1
294,35.350674,128.02094,66.13707733,산림,655.0,6.2,0.7,1
295,35.279722,127.84353,126.7747421,산림,11.0,5.9,0.5,1
296,35.279722,127.84353,126.7747421,산림,11.0,5.9,0.5,1
297,35.268676,127.84228,103.9149017,산림,114.0,5.9,0.5,1
298,35.268676,127.84228,103.9149017,산림,114.0,5.9,0.5,1
299,35.258432,127.76992,279.4119873,산림,1913.0,5.9,0.5,1
300,35.258432,127.76992,279.4119873,산림,1913.0,5.9,0.5,1
301,35.127696,128.53201,11.89338207,평지,279.0,5.7,0.2,1
302,35.216452,128.29138,61.1581459,산림,318.0,5.9,1.0,1
303,35.222747,128.34473,74.24674988,산림,115.0,5.9,1.1,1
304,35.428674,128.01825,135.2447357,산림,161.0,6.3,0.5,1
305,35.48905,128.09311,86.46096802,산림,406.0,6.0,0.7,1
306,35.493266,128.03659,349.8040466,산림,322.0,5.9,0.5,1
307,36.854428,126.96076,43.30775452,평지,139.0,6.1,1.2,1
308,36.858684,126.91608,52.62271881,산림,418.0,6.0,0.6,1
309,36.85291,127.65318,143.0145569,산림,190.0,5.7,0.2,1
310,36.85291,127.65318,143.0145569,산림,190.0,5.7,0.2,1
311,36.792106,127.68719,338.8294678,산림,2815.0,5.7,0.2,1
312,36.85291,127.65318,143.0145569,산림,190.0,5.7,0.2,1
313,36.85266,127.73751,215.2238312,산림,107.0,5.6,0.4,1
314,36.792106,127.68719,338.8294678,산림,2815.0,5.7,0.2,1
315,36.821046,127.69663,274.1057129,산림,185.0,5.7,0.2,1
316,36.835846,127.7002,225.9025421,산림,386.0,5.6,0.4,1
317,36.858864,127.70648,312.4809265,산림,496.0,5.6,0.4,1
318,36.909484,127.66484,196.4202271,산림,717.0,5.9,2.0,1
319,36.909484,127.66484,196.4202271,산림,717.0,5.9,2.0,1
320,35.430917,128.0667,111.2598419,산림,313.0,6.3,0.5,1
321,35.448769,128.10532,128.2412415,산림,1008.0,5.9,0.8,1
322,35.555902,128.0066,191.9731598,산림,463.0,5.9,0.5,1
323,35.61524,128.08966,297.4981384,산림,127.0,6.1,0.7,1
324,35.591707,128.04552,225.8227844,산림,92.0,5.6,0.3,1
325,35.609252,128.06681,298.9067688,산림,839.0,5.6,0.3,1
326,35.411462,127.73101,404.2900696,산림,337.0,5.6,0.8,1
327,35.411686,127.68641,270.0722351,산림,60.0,5.5,0.5,1
328,35.417659,127.725,252.7118073,산림,92.0,5.6,0.8,1
329,35.417659,127.725,252.7118073,산림,92.0,5.6,0.8,1
330,35.433773,127.73366,221.1565094,산림,552.0,5.6,0.8,1
331,36.966258,127.65782,288.7073975,산림,1433.0,5.9,1.3,1
332,35.441747,127.73974,235.0260773,산림,737.0,5.6,0.8,1
333,35.445935,127.69925,705.9716187,산림,225.0,5.6,0.8,1
334,35.477782,127.66239,392.8767395,산림,337.0,5.8,0.8,1
335,35.477782,127.66239,392.8767395,산림,337.0,5.8,0.8,1
336,35.477782,127.66239,392.8767395,산림,337.0,5.8,0.8,1
337,35.410924,128.07043,105.0979767,산림,517.0,5.9,0.8,1
338,35.400639,128.03942,84.01578522,산림,642.0,5.9,0.6,1
339,35.391041,128.02934,107.2632141,산림,11.0,5.9,0.6,1
340,35.441747,127.73974,235.0260773,산림,737.0,5.6,0.8,1
341,35.572451,128.05559,190.3455811,산림,148.0,5.6,0.3,1
342,36.801554,127.23188,87.28651428,산림,437.0,6.5,1.3,1
343,36.801554,127.23188,87.28651428,산림,437.0,6.5,1.3,1
344,36.801554,127.23188,87.28651428,산림,437.0,6.5,1.3,1
345,36.893716,127.0025,25.31272697,평지,303.0,6.1,1.2,1
346,36.893716,127.0025,25.31272697,평지,303.0,6.1,1.2,1
347,36.976319,127.1149,8.363185883,평지,158.0,6.1,1.5,1
348,36.976319,127.1149,8.363185883,평지,158.0,6.1,1.5,1
349,36.976319,127.1149,8.363185883,평지,158.0,6.1,1.5,1
350,36.976319,127.1149,8.363185883,평지,158.0,6.1,1.5,1
351,36.983256,127.08088,3.750003815,평지,367.0,6.1,1.5,1
352,36.983256,127.08088,3.750003815,평지,367.0,6.1,1.5,1
353,35.161501,128.23127,36.67343903,평지,127.0,5.8,0.6,1
354,35.138873,128.20634,54.24992371,산림,1502.0,6.0,1.4,1
355,36.756594,127.19218,93.03450012,산림,215.0,6.2,1.3,1
356,36.756594,127.19218,93.03450012,산림,215.0,6.2,1.3,1
357,36.756594,127.19218,93.03450012,산림,215.0,6.2,1.3,1
358,36.962729,128.02367,194.9567719,산림,1789.0,6.1,0.5,1
359,36.905646,127.70599,246.201889,산림,330.0,5.9,2.0,1
360,36.966258,127.65782,288.7073975,산림,1433.0,5.9,1.3,1
361,36.976232,127.65641,290.9179993,산림,376.0,5.9,1.3,1
362,36.878377,126.98762,24.47417068,평지,126.0,6.1,1.2,1
363,36.803678,127.56314,94.44387817,산림,220.0,5.9,0.3,1
364,36.76791,127.5576,61.87765503,산림,637.0,6.0,0.7,1
365,36.833856,127.59726,103.4280243,산림,156.0,5.9,0.3,1
366,36.856653,127.52613,104.0243912,산림,208.0,5.7,0.3,1
367,36.810005,127.52632,192.4029999,산림,2057.0,5.7,0.3,1
368,36.803678,127.56314,94.44387817,산림,220.0,5.9,0.3,1
369,36.833856,127.59726,103.4280243,산림,156.0,5.9,0.3,1
370,36.803678,127.56314,94.44387817,산림,220.0,5.9,0.3,1
371,36.767228,127.57913,78.65238953,산림,579.0,5.9,0.3,1
372,36.869772,127.59198,135.3111877,산림,1356.0,5.9,2.0,1
373,36.938489,128.00617,140.2881165,산림,1796.0,6.1,0.5,1
374,35.206684,128.23087,11.35235119,평지,281.0,5.8,1.0,1
375,35.577614,128.07943,169.4138489,산림,346.0,6.0,0.7,1
376,36.955877,127.59939,150.8211517,산림,140.0,5.8,2.6,1
377,36.93261,127.52099,68.28717041,산림,287.0,5.9,2.6,1
378,36.985806,127.61286,176.7931976,산림,1011.0,5.8,2.6,1
379,36.985806,127.61286,176.7931976,산림,1011.0,5.8,2.6,1
380,36.991364,127.54569,108.6386185,산림,152.0,5.8,2.6,1
381,36.905783,127.21683,35.7474556,평지,164.0,6.3,0.8,1
382,36.905783,127.21683,35.7474556,평지,164.0,6.3,0.8,1
383,36.923218,127.24349,46.65916061,평지,218.0,6.3,1.4,1
384,36.923218,127.24349,46.65916061,평지,218.0,6.3,1.4,1
385,36.914722,127.32335,182.9968414,산림,103.0,5.8,0.5,1
386,36.914722,127.32335,182.9968414,산림,103.0,5.8,0.5,1
387,36.955877,127.59939,150.8211517,산림,140.0,5.8,2.6,1
388,36.840672,127.85889,105.7003403,산림,58.0,5.8,0.5,1
389,36.823791,127.86256,177.1574249,산림,123.0,5.8,0.5,1
390,36.804705,127.85874,236.8550873,산림,58.0,5.7,0.3,1
391,36.840672,127.85889,105.7003403,산림,58.0,5.8,0.5,1
392,36.818286,127.76592,142.3634949,산림,413.0,5.7,0.3,1
393,36.848665,127.77546,179.0176544,산림,326.0,5.7,0.3,1
394,36.919876,127.36704,190.7803955,산림,534.0,5.8,0.5,1
395,37.645947,127.22355,101.0246811,산림,586.0,6.1,1.9,1
396,37.652672,127.23154,105.8145447,산림,201.0,6.1,1.9,1
397,37.652672,127.23154,105.8145447,산림,201.0,6.1,1.9,1
398,37.745079,127.1847,97.75238037,산림,119.0,6.1,1.8,1
399,36.774844,127.35852,146.1194,산림,739.0,6.0,1.6,1
400,37.636169,127.22385,98.12212372,산림,174.0,6.1,1.9,1
401,36.919876,127.36704,190.7803955,산림,534.0,5.8,0.5,1
402,35.536484,127.71562,217.1907959,산림,240.0,5.8,0.8,1
403,35.384096,127.87087,281.2531738,산림,288.0,6.1,0.7,1
404,35.385151,127.81946,399.872406,산림,386.0,6.0,1.0,1
405,35.385151,127.81946,399.872406,산림,386.0,6.0,1.0,1
406,35.481553,127.87004,150.1617432,산림,354.0,6.1,0.6,1
407,35.476914,127.82432,141.0818024,산림,126.0,6.0,0.6,1
408,35.483502,127.76524,229.71521,산림,216.0,5.6,0.8,1
409,35.413588,127.9678,356.2408142,산림,707.0,5.9,0.6,1
410,35.413588,127.9678,356.2408142,산림,707.0,5.9,0.6,1
411,35.402557,127.9487,381.2679138,산림,507.0,6.1,0.7,1
412,35.449534,127.94554,288.5932922,산림,448.0,5.8,0.4,1
413,35.435948,127.91716,342.0857544,산림,563.0,6.1,0.7,1
414,35.424005,127.91377,208.6708527,산림,68.0,6.1,0.7,1
415,35.486904,127.97002,773.3599854,산림,30.0,5.8,0.4,1
416,35.486904,127.97002,773.3599854,산림,30.0,5.8,0.4,1
417,35.473246,127.94521,484.7200928,산림,760.0,5.8,0.4,1
418,35.493089,127.89594,299.3793335,산림,600.0,6.1,0.6,1
419,35.493089,127.89594,299.3793335,산림,600.0,6.1,0.6,1
420,35.615214,128.09042,292.072113,산림,127.0,6.1,0.7,1
421,35.585753,127.7652,235.3279877,산림,64.0,6.0,1.1,1
422,35.559622,127.76481,176.0887299,산림,639.0,6.0,1.1,1
423,35.572336,127.79627,261.4016113,산림,1191.0,6.0,0.6,1
424,35.56364,127.86093,369.120697,산림,980.0,6.0,0.6,1
425,35.536484,127.71562,217.1907959,산림,240.0,5.8,0.8,1
426,35.512213,127.64293,407.7784729,산림,188.0,5.7,0.5,1
427,35.555434,127.72183,350.1556702,산림,68.0,5.7,0.6,1
428,35.555434,127.72183,350.1556702,산림,68.0,5.7,0.6,1
429,35.567782,127.63804,337.0513916,산림,136.0,5.7,0.5,1
430,35.536484,127.71562,217.1907959,산림,240.0,5.8,0.8,1
431,35.602212,127.64055,664.9298096,산림,1187.0,5.7,0.5,1
432,35.542621,127.91554,487.2258301,산림,803.0,5.7,0.2,1
